,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"Stocks making the biggest moves premarket: $GM $DG $SHLD $PVH $BOX $GES $BRKB $FB $APPL 

DISCUSSING the above &amp; ot… https://t.co/uMZq5XJxmG",FALSE,0,NA,5/31/2018 13:04,TRUE,NA,1.00217E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MissFitTrader,0,FALSE,FALSE,NA,NA
2,"Stocks making the biggest moves premarket: $GM, $DG, $SHLD, $PVH, $BOX, $GES, $BRKB $FB $APPL &amp; more

DISCUSSING th… https://t.co/U5WhR3bUAK",FALSE,1,NA,5/31/2018 12:35,TRUE,NA,1.00217E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mTradingCoach,0,FALSE,FALSE,NA,NA
3,Taking an $APPL entry if it can clear R1 at 188.05 on volume on the open https://t.co/RnY3YxgMO1,FALSE,0,NA,5/31/2018 12:11,FALSE,NA,1.00216E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",xjlittle,0,FALSE,FALSE,NA,NA
4,RT @CarsPerforming: $AAGC IF YOU DON'T SEE WHATS COMING HERE THEN YOU DON'T KNOW HOW TO MAKE MONEY  $$$$$ #XRP #BTC #LTC #ETH #BCH $GOOG $T…,FALSE,0,NA,5/31/2018 11:36,FALSE,NA,1.00215E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Need4orSpeed,18,TRUE,FALSE,NA,NA
5,RT @CarsPerforming: $AAGC IF YOU DON'T SEE WHATS COMING HERE THEN YOU DON'T KNOW HOW TO MAKE MONEY  $$$$$ #XRP #BTC #LTC #ETH #BCH $GOOG $T…,FALSE,0,NA,5/31/2018 9:59,FALSE,NA,1.00213E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lt1z350,18,TRUE,FALSE,NA,NA
6,"$APPL is set at good buy point with upgrades..

https://t.co/V0gs05iHn0
U.S. jury awards Apple $539 million in Samsung patent retrial",FALSE,0,NA,5/31/2018 6:14,FALSE,NA,1.00207E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Commonsense1926,0,FALSE,FALSE,NA,NA
7,"Portfolio management on #iPhone.
#ios #free #DAX $APPL @GridcoreRTs

https://t.co/gvX4977ffI",FALSE,0,NA,5/31/2018 5:58,FALSE,NA,1.00207E+18,NA,"<a href=""https://twitter.com/bitcommander"" rel=""nofollow"">tweetliker_bit</a>",bitcommander,0,FALSE,FALSE,NA,NA
8,RT @CarsPerforming: $AAGC IF YOU DON'T SEE WHATS COMING HERE THEN YOU DON'T KNOW HOW TO MAKE MONEY  $$$$$ #XRP #BTC #LTC #ETH #BCH $GOOG $T…,FALSE,0,NA,5/31/2018 3:55,FALSE,NA,1.00204E+18,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CarsPerforming,18,TRUE,FALSE,NA,NA
9,RT @CarsPerforming: $AAGC IF YOU DON'T SEE WHATS COMING HERE THEN YOU DON'T KNOW HOW TO MAKE MONEY  $$$$$ #XRP #BTC #LTC #ETH #BCH $GOOG $T…,FALSE,0,NA,5/31/2018 3:08,FALSE,NA,1.00202E+18,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Jordan_Thorburn,18,TRUE,FALSE,NA,NA
10,RT @CarsPerforming: $AAGC IF YOU DON'T SEE WHATS COMING HERE THEN YOU DON'T KNOW HOW TO MAKE MONEY  $$$$$ #XRP #BTC #LTC #ETH #BCH $GOOG $T…,FALSE,0,NA,5/31/2018 3:00,FALSE,NA,1.00202E+18,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cabralvictor554,18,TRUE,FALSE,NA,NA
